ID_EMPLOYEE,Tenure Range,GENDER,EMPLOYEE_TYPE,ENGAGEMENT_SCORE,AGE RANGE
1,0-2 years,M,Permanent,0.79,30-35
2,0-2 years,F,Permanent,0.22,26-30
3,0-2 years,M,Permanent,0.52,23-26
4,0-2 years,F,Permanent,0.5,23-26
5,0-2 years,M,Permanent,0.8,23-26
6,0-2 years,M,Permanent,0.75,23-26
7,2-5 years,M,Permanent,0.91,23-26
8,0-2 years,M,Permanent,0.78,26-30
9,0-2 years,F,Permanent,0.34,26-30
10,0-2 years,M,Non Permanent,0.66,23-26
11,0-2 years,M,Permanent,0.91,23-26
12,0-2 years,M,Permanent,0.47000000000000003,23-26
13,2-5 years,M,Permanent,0.8300000000000001,23-26
14,0-2 years,M,Non Permanent,0.91,23-26
15,0-2 years,M,Permanent,0.75,23-26
16,0-2 years,M,Non Permanent,0.91,23-26
17,0-2 years,M,Permanent,0.8300000000000001,23-26
18,0-2 years,M,Permanent,0.5,23-26
19,0-2 years,M,Permanent,0.91,23-26
20,0-2 years,M,Non Permanent,0.91,23-26
21,0-2 years,M,Non Permanent,0.6900000000000001,23-26
22,0-2 years,M,Permanent,0.8300000000000001,23-26
23,0-2 years,F,Permanent,0.6,23-26
24,0-2 years,M,Permanent,0.73,23-26
25,0-2 years,M,Permanent,0.74,23-26
26,0-2 years,M,Permanent,0.28,26-30
27,0-2 years,M,Permanent,0.61,23-26
28,0-2 years,M,Permanent,0.5700000000000001,23-26
29,0-2 years,F,Permanent,0.66,23-26
30,2-5 years,M,Permanent,0.49,23-26
31,0-2 years,M,Permanent,0.8300000000000001,23-26
32,0-2 years,M,Non Permanent,0.55,23-26
33,0-2 years,M,Permanent,0.91,23-26
34,'+5 years,M,Permanent,0.74,30-35
35,2-5 years,F,Permanent,0.5,23-26
36,0-2 years,M,Non Permanent,0.91,23-26
37,0-2 years,M,Permanent,0.52,26-30
38,0-2 years,M,Permanent,0.77,23-26
39,2-5 years,F,Permanent,0.66,23-26
40,0-2 years,M,Permanent,0.8,23-26
41,0-2 years,M,Permanent,0.77,23-26
42,0-2 years,M,Non Permanent,0.8300000000000001,26-30
43,0-2 years,M,Permanent,0.79,23-26
44,'+5 years,F,Permanent,0.78,30-35
45,2-5 years,M,Permanent,0.91,23-26
46,0-2 years,M,Permanent,0.91,26-30
47,0-2 years,F,Permanent,0.74,23-26
48,0-2 years,M,Permanent,0.79,26-30
49,0-2 years,M,Non Permanent,0.6900000000000001,23-26
50,2-5 years,M,Permanent,0.72,26-30
51,2-5 years,M,Permanent,0.63,26-30
52,'+5 years,M,Permanent,0.76,23-26
53,'+5 years,F,Permanent,0.74,23-26
54,0-2 years,F,Permanent,0.74,30-35
55,0-2 years,M,Permanent,0.51,26-30
56,2-5 years,M,Permanent,0.59,26-30
57,0-2 years,M,Permanent,0.55,23-26
58,'+5 years,F,Permanent,0.75,23-26
59,0-2 years,M,Non Permanent,0.6900000000000001,23-26
60,0-2 years,M,Non Permanent,0.8300000000000001,26-30
61,0-2 years,M,Non Permanent,0.55,23-26
62,0-2 years,M,Permanent,0.72,23-26
63,0-2 years,M,Permanent,0.53,23-26
64,0-2 years,F,Permanent,0.59,23-26
65,2-5 years,M,Permanent,0.46,23-26
66,0-2 years,F,Permanent,0.76,23-26
67,0-2 years,M,Permanent,0.72,23-26
68,0-2 years,F,Permanent,0.6,23-26
69,0-2 years,M,Permanent,0.63,26-30
70,2-5 years,F,Permanent,0.49,23-26
71,0-2 years,M,Non Permanent,0.91,23-26
72,'+5 years,M,Permanent,0.54,23-26
73,2-5 years,M,Permanent,0.91,26-30
74,0-2 years,F,Permanent,0.37,23-26
75,0-2 years,F,Permanent,0.8300000000000001,23-26
76,0-2 years,M,Permanent,0.75,26-30
77,0-2 years,F,Permanent,0.72,23-26
78,0-2 years,F,Permanent,0.91,23-26
80,'+5 years,F,Permanent,0.91,26-30
81,0-2 years,M,Permanent,0.8300000000000001,23-26
82,0-2 years,M,Non Permanent,0.79,23-26
83,0-2 years,F,Permanent,0.66,23-26
84,0-2 years,M,Non Permanent,0.91,23-26
85,0-2 years,M,Non Permanent,0.47000000000000003,23-26
86,'+5 years,M,Permanent,0.6900000000000001,23-26
87,'+5 years,M,Permanent,0.91,23-26
88,0-2 years,F,Permanent,0.91,26-30
89,'+5 years,F,Permanent,0.8300000000000001,30-35
90,0-2 years,M,Permanent,0.34,23-26
91,0-2 years,F,Permanent,0.74,23-26
